priority,layer,source,url,role,resolution_or_time,access_license,main_risk
1,Facilities - places,Overture Maps Places,https://docs.overturemaps.org/guides/places/,Global schools hospitals clinics and other public-service POIs,2026-04 release GeoParquet; 64M+ places,Freely available via S3/Azure; mixed permissive licenses,POI completeness and category noise vary by country
1,Buildings,Overture Maps Buildings,https://docs.overturemaps.org/guides/buildings/,Match facilities to building footprints height floors and built form,2026-04 release GeoParquet; global building footprints,ODbL-compatible,ML-derived footprints include false positives and variable completeness
1,Population and urbanization,GHSL Data Package 2023,https://human-settlement.emergency.copernicus.eu/p2023Release.php,Long-term settlement population built-up and urban classes,1975-2030 at 5-year intervals,European Commission reuse,Projection years 2025 and 2030 are modeled
1,Population grid,GHSL GHS-POP R2023A,https://data.jrc.ec.europa.eu/dataset/2ff68a52-5b5b-4a22-8f40-c41da8332cfe,Service-catchment population and urban growth,1975-2030; 100m Mollweide / 3 arcsec WGS84,European Commission reuse,Disaggregation uncertainty
1,Built-up surface,GHSL GHS-BUILT-S R2023A,https://data.jrc.ec.europa.eu/dataset/9f06f36f-4b11-47ec-abb0-4f8b7b1d72ea,Urban expansion and built-up exposure,1975-2030; 100m and 1km,European Commission reuse,Interpolation assumptions for historical epochs
1,Built-up volume,GHSL GHS-BUILT-V R2023A,https://data.jrc.ec.europa.eu/dataset/ab2f107a-03cd-47a3-85e5-139d8ec63283,Urban morphology and facility built environment,1975-2030; 100m and 1km,European Commission reuse,Height assumed constant in temporal projection
1,River flood hazard,JRC Global river flood hazard maps,https://data.jrc.ec.europa.eu/dataset/jrc-floods-floodmapgl_rp50y-tif,100-year and other return-period flood depth,Global except Greenland Antarctica and small basins; 10-500 year return periods,JRC dataset; cite DOI,Not official local flood hazard map; river floods only
1,Historical floods,Global Flood Database v1,https://developers.google.com/earth-engine/datasets/catalog/GLOBAL_FLOOD_DB_MODIS_EVENTS_V1,Observed flood validation and historical exposure,913 events 2000-2018; MODIS-derived flood maps,CC BY-NC 4.0 in Earth Engine,Only large mapped events; optical/cloud limitations
1,Heat stress,ERA5-HEAT UTCI,https://cds.climate.copernicus.eu/datasets/derived-utci-historical?tab=overview,Human thermal stress exposure,1940-near real time; 0.25 degree; hourly/daily/monthly/yearly,Copernicus Products Licence,Coarse for intra-urban heat
1,Land climate,ERA5-Land,https://cds.climate.copernicus.eu/datasets/reanalysis-era5-land?tab=overview,Temperature humidity precipitation runoff covariates,1950-present; hourly; 0.1 degree; global,CC-BY,Reanalysis uncertainty in data-poor regions
2,Land surface temperature,NASA MODIS MOD11A2,https://www.earthdata.nasa.gov/data/catalog/lpcloud-mod11a2-061,Satellite LST validation and urban heat anomaly,2000-present; 1 km; 8-day,NASA Earthdata open use,Clear-sky bias and surface not air temperature
2,Precipitation,NASA GPM IMERG,https://gpm.nasa.gov/data/imerg,Extreme precipitation and flood-trigger context,1998-present combined record; half-hourly/daily/monthly,NASA Earthdata,Satellite precipitation uncertainty over complex terrain
1,Water risk,WRI Aqueduct,https://www.wri.org/aqueduct,Baseline and future water stress and drought context,Aqueduct 4.0; global water-risk indicators,CC BY 4.0,Indicator choice and basin aggregation
1,Population demographics,WorldPop,https://hub.worldpop.org/,High-resolution population age sex and LMIC demographics,Large open repository; country-specific rasters,CC BY 4.0,Modeling assumptions differ by country
1,Deprivation,Global Gridded Relative Deprivation Index,https://data.nasa.gov/dataset/global-gridded-relative-deprivation-index-grdi-version-1,Vulnerability and inequality stratification,2010-2020; 30 arcsec about 1 km,NASA SEDAC; cite DOI,Composite index choices and temporal mismatch
2,Land cover,ESA WorldCover,https://esa-worldcover.org/en,Green cover built-up water and land-cover covariates,2020 and 2021; 10 m,CC BY 4.0,Only recent annual products
2,Hydro environment,HydroATLAS,https://www.hydrosheds.org/hydroatlas,Basin river lake hydro-environmental controls,1M basins 8.5M river reaches 1.4M lakes,CC BY 4.0,Large files and attribute complexity
2,River network,HydroRIVERS,https://www.hydrosheds.org/products/hydrorivers,River proximity and hydrologic context,8.5M reaches; 35.9M km river network,HydroSHEDS terms,Vector size and regional hydrography uncertainty
1,Health facilities,Healthsites.io,https://healthsites.io/,Independent health-facility validation,Global health facility points via API/download,ODbL,Completeness varies and may overlap OSM
2,Schools and connectivity,Giga open data,https://giga.global/what-we-do/our-solutions/open-data/,School locations connectivity and education sub-study,Open school mapping and APIs where available,UNICEF/ITU open-data terms to verify,Country coverage and access may vary
2,OSM custom data,OpenStreetMap Overpass API,https://wiki.openstreetmap.org/wiki/Overpass_API,Facility roads amenities and validation,Global read-only OSM query API,ODbL,Public API limits and volunteer mapping bias
3,Urban heat methods,WRI Cool Cities Lab technical note,https://www.wri.org/research/modeling-hyperlocal-heat-exposure-open-source-data,High-resolution city heat scenario method,1 m UTCI modeling workflow for city cases,Creative Commons,Only practical for selected cities not global scale
3,EO foundation model,IBM-NASA Prithvi,https://huggingface.co/ibm-nasa-geospatial/Prithvi-100M,Optional AI feature extraction or flood/land-cover enhancement,Temporal ViT pre-trained on HLS,Apache-2.0,Requires GPU and careful validation
3,EO foundation model,Clay Foundation Model,https://clay-foundation.github.io/model/,Optional embeddings for urban morphology or land-cover transfer,Open EO foundation model embeddings and weights,Apache-2.0 / CC BY docs,Not necessary for main paper; avoid scope creep
